A_HGA,ID
43,904
43,905
39,906
43,907
0,908
39,909
43,910
43,911
43,912
0,913
0,914
43,915
39,916
39,917
39,918
43,919
39,920
43,921
39,922
43,923
39,924
43,925
39,926
39,927
39,928
40,929
43,930
43,931
43,932
39,933
39,934
43,935
43,936
39,937
43,938
43,939
43,940
43,941
39,942
43,943
39,944
0,945
0,946
39,947
43,948
43,949
39,950
39,951
39,952
43,953
39,954
39,955
0,956
43,957
39,958
39,959
39,960
39,961
41,962
39,963
40,964
39,965
43,966
39,967
39,968
39,969
0,970
0,971
39,972
39,973
43,974
39,975
43,976
43,977
40,978
43,979
43,980
39,981
39,982
0,983
0,984
0,985
